Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price
2020 Maruti Swift, LXI,"32,750 km",Petrol,Manual,HR-85,"EMI ₹6,713/m*",₹4.07L₹3.80 lakh+ other charges
2016 Renault Kwid, RXT 0.8,"77,319 km",Petrol,Manual,UP-80,"EMI ₹3,804/m*",₹1.80L₹1.71 lakh+ other charges
2015 Maruti Swift, VDI ABS,"87,121 km",Diesel,Manual,HR-14,Not available on EMI,₹3.81L₹3.18 lakh+ other charges
2022 Maruti Swift, LXI,"66,173 km",Petrol,Manual,HR-14,"EMI ₹7,432/m*",₹4.37L₹4.21 lakh+ other charges
2018 Renault Kwid, RXT 0.8,"62,135 km",Petrol,Manual,UP-80,"EMI ₹2,879/m*",₹2.42L₹1.63 lakh+ other charges
2017 Renault Kwid, RXT 0.8,"41,654 km",Petrol,Manual,HR-79,"EMI ₹2,929/m*",₹2.50L₹1.50 lakh+ other charges
2022 KIA SELTOS, HTK 1.5 PETROL,"43,539 km",Petrol,Manual,HR-16,"EMI ₹13,243/m*",₹8.64L₹7.50 lakh+ other charges
2014 Maruti Swift, VDI,"1,11,698 km",Diesel,Manual,UP-16,Not available on EMI,₹2.92L₹1.98 lakh+ other charges
2019 Maruti New Wagon-R, VXI 1.2,"46,641 km",Petrol,Manual,DL-2C,"EMI ₹5,886/m*",₹3.33 lakh+ other charges
2018 Honda Amaze, 1.2L I-VTEC VX,"63,933 km",Petrol,Manual,DL-11,"EMI ₹6,690/m*",₹4.24L₹3.79 lakh+ other charges
2019 Ford FREESTYLE, AMBIENTE 1.5 DIESEL,"55,165 km",Diesel,Manual,UP-25,"EMI ₹9,931/m*",₹4.99L₹2.99 lakh+ other charges
2017 Maruti Swift, LXI (O),"79,321 km",Petrol,Manual,DL-8C,"EMI ₹4,886/m*",₹2.70L₹2.50 lakh+ other charges
2016 Maruti Baleno, DELTA PETROL 1.2,"67,702 km",Petrol,Manual,HR-26,"EMI ₹7,142/m*",₹3.21 lakh+ other charges
2023 Toyota Glanza, S,"60,527 km",Petrol,Manual,HR-26,"EMI ₹8,826/m*",₹5.64L₹5.00 lakh+ other charges
2022 Skoda SLAVIA, AMBITION 1.0L TSI MT,"78,434 km",Petrol,Manual,HR-44,"EMI ₹13,492/m*",₹11.13L₹7.64 lakh+ other charges
2016 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"82,996 km",Petrol,Manual,HR-12,"EMI ₹6,123/m*",₹2.75 lakh+ other charges
2014 Maruti Wagon R 1.0, LXI,"87,492 km",Petrol,Manual,HR-52,"EMI ₹4,580/m*",₹2.23L₹1.38 lakh+ other charges
2016 Maruti Baleno, ALPHA PETROL 1.2,"49,803 km",Petrol,Manual,DL-12,"EMI ₹7,786/m*",₹3.71L₹3.50 lakh+ other charges
2022 Tata NEXON, XZ PLUS (L) DARK EDITION,"55,797 km",Petrol,Manual,UP-27,"EMI ₹12,569/m*",₹8.04L₹7.12 lakh+ other charges
2016 Honda City, 1.5L I-VTEC V MT,"58,953 km",Petrol,Manual,HR-26,"EMI ₹8,441/m*",₹3.79 lakh+ other charges
